source_table,source_column,pdp_class,nullable
res_company,price_difference_account_id,internal,
res_company,primary_color,internal,
res_company,purchase_lock_date,internal,
res_company,qr_code,internal,
res_company,quick_edit_mode,internal,
res_company,quotation_validity_days,internal,
res_company,report_footer,public,
res_company,report_header,public,
res_company,resource_calendar_id,internal,
res_company,restrictive_audit_trail,internal,
res_company,revenue_accrual_account_id,internal,
res_company,sale_discount_product_id,internal,
res_company,sale_lock_date,internal,
res_company,sale_onboarding_payment_method,internal,
res_company,sale_order_template_id,internal,
res_company,secondary_color,internal,
res_company,security_lead,internal,
res_company,sequence,internal,
res_company,snailmail_color,internal,
res_company,snailmail_cover,internal,
res_company,snailmail_duplex,internal,
res_company,social_discord,internal,
res_company,social_facebook,internal,
res_company,social_github,internal,
res_company,social_instagram,internal,
res_company,social_linkedin,internal,
res_company,social_tiktok,internal,
res_company,social_twitter,internal,
res_company,social_youtube,internal,
res_company,stock_confirmation_type,internal,
res_company,stock_mail_confirmation_template_id,internal,
res_company,stock_move_email_validation,internal,
res_company,stock_sms_confirmation_template_id,internal,
res_company,stock_text_confirmation,internal,
res_company,tax_calculation_rounding_method,internal,
res_company,tax_cash_basis_journal_id,internal,
res_company,tax_exigibility,internal,
res_company,tax_lock_date,internal,
res_company,terms_type,internal,
res_company,transfer_account_code_prefix,internal,
res_company,transfer_account_id,internal,
res_company,uses_default_logo,internal,
res_company,vat_check_vies,internal,
res_company,website_id,internal,
res_company,work_permit_expiration_notice_period,internal,
res_company,write_date,internal,
res_company,write_uid,internal,
res_partner,active,internal,
res_partner,autopost_bills,internal,
res_partner,barcode,sensitive,true
res_partner,buyer_id,internal,
res_partner,calendar_last_notif_ack,internal,
res_partner,city,personal,
res_partner,color,internal,
res_partner,comment,sensitive,true
res_partner,commercial_company_name,personal,
res_partner,commercial_partner_id,internal,
res_partner,company_id,internal,
res_partner,company_name,personal,
res_partner,company_registry,personal,
res_partner,complete_name,personal,
res_partner,country_id,internal,
res_partner,create_date,internal,
res_partner,create_uid,internal,
res_partner,credit_limit,internal,
res_partner,customer_rank,internal,
res_partner,email,personal,
res_partner,email_normalized,personal,
res_partner,employee,internal,
res_partner,function,personal,
res_partner,global_location_number,personal,
res_partner,group_on,internal,
res_partner,group_rfq,internal,
res_partner,id,internal,
res_partner,ignore_abnormal_invoice_amount,internal,
res_partner,ignore_abnormal_invoice_date,internal,
res_partner,industry_id,internal,
res_partner,invoice_edi_format_store,internal,
res_partner,invoice_sending_method,internal,
res_partner,invoice_template_pdf_report_id,internal,
res_partner,is_company,internal,
res_partner,is_published,internal,
res_partner,l10n_id_buyer_document_number,sensitive,
res_partner,l10n_id_buyer_document_type,internal,
res_partner,l10n_id_kode_transaksi,internal,
res_partner,l10n_id_nik,sensitive,
res_partner,l10n_id_pkp,internal,
res_partner,l10n_id_tku,sensitive,
res_partner,lang,internal,
res_partner,message_bounce,internal,
res_partner,name,personal,
res_partner,ndi_customer_type,internal,
res_partner,ndi_default_hj_level,internal,
res_partner,ndi_sales_region,internal,
res_partner,parent_id,internal,
res_partner,partner_latitude,sensitive,true
res_partner,partner_longitude,sensitive,true
res_partner,partner_share,internal,
res_partner,peppol_eas,internal,
res_partner,peppol_endpoint,personal,
res_partner,phone,personal,
res_partner,phone_sanitized,personal,
res_partner,picking_warn_msg,sensitive,true
res_partner,properties,sensitive,true
res_partner,property_account_payable_id,internal,
res_partner,property_account_position_id,internal,
res_partner,property_account_receivable_id,internal,
res_partner,property_inbound_payment_method_line_id,internal,
res_partner,property_outbound_payment_method_line_id,internal,
res_partner,property_payment_term_id,internal,
res_partner,property_purchase_currency_id,internal,
res_partner,property_stock_customer,internal,
res_partner,property_stock_supplier,internal,
res_partner,property_supplier_payment_term_id,internal,
res_partner,purchase_warn_msg,internal,
res_partner,receipt_reminder_email,internal,
res_partner,ref,personal,
res_partner,reminder_date_before_receipt,internal,
res_partner,sale_warn_msg,sensitive,true
res_partner,signup_type,personal,
res_partner,specific_property_product_pricelist,internal,
res_partner,state_id,internal,
res_partner,street,personal,
res_partner,street2,personal,
res_partner,suggest_based_on,internal,
res_partner,suggest_days,internal,
res_partner,suggest_percent,internal,
res_partner,supplier_rank,internal,
res_partner,trust,internal,
res_partner,type,internal,
res_partner,tz,internal,
res_partner,user_id,internal,
res_partner,vat,sensitive,
res_partner,vies_valid,internal,
res_partner,website,personal,
res_partner,website_id,internal,
res_partner,write_date,internal,
res_partner,write_uid,internal,
res_partner,zip,personal,
res_company,brand_accent_color,internal,
res_company,expense_journal_id,internal,
res_company,home_announcement_active,internal,
res_company,home_announcement_html,internal,
res_company,internal_project_id,internal,
res_company,leave_timesheet_task_id,internal,
res_company,project_time_mode_id,internal,
res_company,report_bank_details,internal,
res_company,report_footer_note,internal,
res_company,report_show_product_name,internal,
res_company,timesheet_encode_uom_id,internal,
res_company,x_custom_coretax_user_id,internal,
res_company,x_custom_ic_enabled,internal,
res_company,x_custom_nitku_suffix,internal,
res_company,x_custom_npwp_penandatangan,sensitive,
res_partner,credit_limit_check_method,internal,
res_partner,custom_credit_limit,internal,
res_partner,custom_credit_limit_check_method,internal,
res_partner,custom_followup_last_sent,internal,
res_partner,custom_followup_level_id,internal,
res_partner,custom_followup_next_date,internal,
res_partner,x_custom_birth_date,secret,
res_partner,x_custom_birth_place,sensitive,
res_partner,x_custom_foreign_counterparty,internal,
res_partner,x_custom_has_valid_npwp,internal,
res_partner,x_custom_kitas,sensitive,
res_partner,x_custom_nik,sensitive,
res_partner,x_custom_nitku,sensitive,
res_partner,x_custom_npwp,sensitive,
res_partner,x_custom_npwp_status,sensitive,
res_partner,x_custom_passport,sensitive,
res_partner,x_custom_pkp,internal,
res_partner,x_custom_ptkp,sensitive,
res_partner,x_custom_tin,sensitive,
